,Tweets,Review
0,RT @jbhavan: #Singapore:  Journalist-turned-data analyst Chua Chin Hon and CNA's senior graphic designer Kenneth Choy have been churning ou…,negative
1,"RT @ErinMichos: The pandemic &amp; the female academic. As ""care work"" is imbalanced even among highly educated heterosexual couples, and COVID…",positive
2,"【コロナ期間限定！あいどらいず全ページ無料公開中】
 
Stay Home!
皆さんのご無事を祈っております！

＃StayHome
＃COVID19
＃フェチは世界を救う
＃おへそは正義

https://t.co/8BtFFZUuum",negative
3,"RT @CheikhGhazouani: Nous nous félicitons tous pour le rétablissement de nos chers compatriotes qui ont été contaminés au Covid19. 
C'est g…",negative
4,RT @Kundankrbgp: Bankers should be compensated and insured as per their risk profile due to large exposure to the crowd in times of Covid19…,positive
5,"RT @99emergencycall: COVID19に対応している看護師たち。

看護協会が、厚労省と内閣府に要望をだしたぞ！！！

しかも支給期間をみろ、ものすごいぞ。

全力で応援RTして国へ届かせて。

愚痴ったり嘆いたりしてるくらいなら、とにかく話題にあげよう🙄…",negative
6,RT @NirupamaViswa: Two journalists in the city have tested positive for #COVID19 in #Chennai. More are being tested @xpresstn @ranjim #Covi…,positive
7,ysy xgc jgy hrq zer pkk vpz agc cgp rds mhc imc glp ukv drv xtb apj eiu acw apc fhh  InsecureHBO   COVID CDTV Covid… https://t.co/9Ort6kr779,negative
8,RT @klaikong: ไทยวิจัยวัคซีนต้าน #COVID19 คืบหน้า ล่าสุดเริ่มทดลองในสัตว์  #ThaiPBS https://t.co/fl6m4pKRdC,negative
9,シンガポールと台湾の #COVID19 拡大の差についての振り返りをNHKでやっている。水際対策は同レベルだった両国で、今やこんなにも差がついたのには、やはり外出自粛の徹底の差が関与しているのではないか。今の日本の対応レベルでは、… https://t.co/HfwPFR3FXt,negative
10,RT @ashoswai: Hospital in India would no longer be accepting Muslim patients from Muslim-dominated localities. #COVID19   https://t.co/Wi1i…,negative
11,RT @GlobalGoalsUN: Biodiversity loss can have significant direct human health impacts. To prevent zoonotic diseases such as #COVID19 it's i…,positive
12,"RT @AthiGeleba: #COVID19 | “I think of the courage and resilience of the people of South Africa🇿🇦 who have endured so much over so long, no…",positive
13,"@rota_covid19 えぇえぇぇぇこれアリなのぉぉぉ！？
……いやまぁ病院も大変なんだろうし赤字が補填されなきゃ経営的にまずいのは分かるんだけど
なんだろうこの素直に呑み込めない気持ち
命がけで頑張っている最前線の皆さんにも相応のリターンをですね……",negative
14,"RT @KKMPutrajaya: Terkini #COVID19 di Malaysia, 19 April.

Jumlah kes discaj lebih tinggi berbanding kes baru.

Terkini, 9⃣5⃣ lagi pesakit…",negative
